id,school,school_short,school_full,network,type,address,city,state,zip,comarea,ward,ward1,ward2,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10,ward11,ward12,ward13,ward14,ward15,ward16,ward17,ward18,ward19,ward20,ward21,ward22,ward23,ward24,ward25,ward26,ward27,ward28,ward29,ward30,ward31,ward32,ward33,ward34,ward35,ward36,ward37,ward38,ward39,ward40,ward41,ward42,ward43,ward44,ward45,ward46,ward47,ward48,ward49,ward50,tract2000,tract2010,selective,closed_turn,closed,yr_action,closed00,closed01,closed02,closed03,closed04,closed05,closed06,closed07,closed08,closed09,closed10,closed11,closed12,closed13,closedturn00,closedturn01,closedturn02,closedturn03,closedturn04,closedturn05,closedturn06,closedturn07,closedturn08,closedturn09,closedturn10,closedturn11,closedturn12,closedturn13,bage2000,bage2010,yrbuilt,a2a_ur2012,a2a_ur2006,tif2000,tif2010,dist_charter,dist_new,dist_cbd,ayp2004,ayp2005,ayp2006,ayp2007,ayp2008,ayp2009,ayp2010,ayp2011,ayp2012,ayp2013,pmec2001,pmec2010,probation2011,cen9906,enroll2006,cen062012,pli_2012,pw_1990,pw_2000,pw_2010,pb_1990,pb_2000,pb_2010,pl_1990,pl_2000,pl_2010,pa_1990,pa_2000,pa_2010,sapop90ct,sapop00ct,sapop10ct,csapop9000,pcsapop9000,pcsapop0010,bp00ct,bp10ct,cbp0010ct,mfi_1990ct,mfi_2000ct,mfi_2010ct,mhv1990ct,mhv2000ct,mhv2010ct,pcmhv9000,pcmhv0010
501,Pritzker ES,PRITZKER,A.N. Pritzker School,Fulton Elementary Network,ES,2009 W Schiller St,Chicago,IL,60622,WEST TOWN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414,2414,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,1975,1.08,0.95,0,0,0.70,1.62,3.09,0,0,0,0,0,0,0,0,0,0,65.2,83.9,0,0.05,595,0.12,62.1,0.188,0.21,0.224,0.339,0.411,0.451,0.409,0.337,0.291,0.063,0.041,0.027,1045.000,494,496,-551,-0.527,0.004,0.12,0.07,-0.05,17960.00,48802.00,80928,198199.999,406400.00,468500,1.050454098,0.152805118
368,Lincoln ES,LINCOLN,Abraham Lincoln Elementary School,Fullerton Elementary Network,ES,615 W Kemper Pl,Chicago,IL,60614,LINCOLN PARK,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,712,712,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,134,1876,1.49,1.26,0,0,1.17,1.19,3.05,0,0,0,0,0,0,0,0,0,0,83.8,96.3,0,0.30,661,0.22,14,0.491,0.616,0.635,0.365,0.252,0.157,0.081,0.07,0.082,0.05905,0.06,0.082,212.000,224,247,12,0.057,0.103,0.05,0.03,-0.02,46090.00,78084.00,82461,356299.999,357500.00,433600,0.003367951,0.212867133
497,Powell ES,POWELL,Adam Clayton Powell Paideia Community Academy ES,Skyway Elementary Network,ES,7511 S South Shore Dr,Chicago,IL,60649,SOUTH SHORE,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314,4314,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,1975,0.79,0.92,0,0,1.08,1.06,9.15,0,1,1,1,1,1,1,1,1,1,24.7,76.8,0,-0.41,618,-0.16,97.5,0.001,0.006,0,0.996,0.994,0.993,0.003,0,0.007,0,0,0,1620.000,1775,1105,155,0.096,-0.377,0.96,0.94,-0.01,23253.00,28629.00,26250,56400.000,61900.00,134800,0.097517735,1.177705977
580,Stevenson ES,STEVENSON,Adlai E Stevenson Elementary School,Midway Elementary Network,ES,8010 S Kostner Ave,Chicago,IL,60652,ASHBURN,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003,7003.01,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,53,1957,1.59,1.55,0,0,2.02,1.13,10.73,1,1,1,1,1,1,1,1,1,1,46.6,78.4,0,-0.21,1240,0.05,94,0.609,0.501,0.078,0.294,0.146,0.078,0.074,0.337,0.846,0.018,0.015,0.004,1012.388,1354,1786,342,0.338,0.319,0.06,0.08,0.02,42666.00,51091.00,52389,88500.002,126100.00,210300,0.424858763,0.667723989
357,Lara ES,LARA,Agustin Lara Elementary Academy,Pershing Elementary Network,ES,4619 S Wolcott Ave,Chicago,IL,60609,NEW CITY,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6103,6103,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,1996,1.1,1.13,1,0,0.93,0.27,5.48,1,1,1,1,1,1,1,1,1,1,24.3,69.7,0,0.00,566,-0.02,99.6,,0.033,0.027,,0.008,0.024,,0.959,0.943,,0,0.004,1868.000,2152,2027,284,0.152,-0.058,0.02,0.05,0.03,22671.00,23405.00,29330,44500.000,97000.00,219600,1.179775292,1.263917526
5,Albany Park Multicultural Academy MS,ALBANY PARK,Albany Park Multicultural Academy,O'Hare Elementary Network,MS,4929 N Sawyer Ave,Chicago,IL,60625,ALBANY PARK,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1402,1402,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,4,2006,0.9,1.05,1,1,0.68,0.03,7.44,0,0,0,0,0,0,0,0,0,0,55.6,82.2,0,0.00,290,-0.08,96,,0.183,0.04,,0.077,0.07,,0.447,0.77,,0.293,0.12,1746.000,1983,1219,237,0.136,-0.385,0.06,0.05,-0.01,23305.00,30764.00,41821,99300.001,198000.00,294700,0.993957675,0.488383838
533,Sabin Magnet ES,SABIN,Albert R Sabin Elementary Magnet School,Fulton Elementary Network,ES,2216 W Hirsch St,Chicago,IL,60622,WEST TOWN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412,2412,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,80,1930,1.09,1.00,0,0,0.59,1.72,3.32,0,0,0,0,0,0,0,0,0,1,47.3,72.1,1,-0.01,552,0.13,89.7,0.264,0.082,0.02,0.089,0.172,0.203,0.63,0.728,0.751,0.016,0.015,0.025,566.000,273,239,-293,-0.518,-0.125,0.14,0.09,-0.05,23125.00,38021.00,66149,104199.998,308000.00,419400,1.955854181,0.361688312
618,Volta ES,VOLTA,Alessandro Volta Elementary School,O'Hare Elementary Network,ES,4950 N Avers Ave,Chicago,IL,60625,ALBANY PARK,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1403,1403.02,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,79,1931,1.3,1.22,1,0,0.33,0.33,7.89,0,0,0,0,0,1,1,1,1,1,60.6,71.8,0,-0.06,949,0.07,94.4,0.387,0.169,0.107,0.032,0.038,0.051,0.248,0.532,0.583,0.324,0.261,0.259,1128.296,1292,1009,164,0.145,-0.219,0.03,0.06,0.02,23921.00,45891.00,56530,95700.003,174100.00,322500,0.819226718,0.852383663
257,Haley ES,HALEY,Alex Haley Elementary Academy,Rock Island Elementary Network,ES,11411 S Eggleston Ave,Chicago,IL,60628,ROSELAND,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4912,4912,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,1979,0.73,1.04,0,0,0.78,1.11,13.48,1,1,1,1,1,1,1,1,1,1,22.6,71.2,0,-0.51,755,-0.31,99.1,,0.001,0,,0.999,0.995,,0,0.005,,0,0,840.000,757,623,-83,-0.099,-0.177,0.98,0.98,-0.01,38933.00,45417.00,52593,64300.000,95600.00,122400,0.486780721,0.280334728
47,Bell ES,BELL,Alexander Graham Bell Elementary School,Ravenswood-Ridge Elementary Network,ES,3730 N Oakley Ave,Chicago,IL,60618,NORTH CENTER,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,505,505,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,93,1917,1.2,1.04,0,0,1.04,0.62,5.52,1,0,0,0,0,0,0,0,0,0,76.6,96.2,0,-0.12,862,0.15,86.6,0.471,0.457,0.571,0.142,0.135,0.056,0.273,0.294,0.248,0.106,0.107,0.118,901.000,761,1028,-140,-0.155,0.351,0.02,0.02,0.00,35421.00,58651.00,85189,156100.000,354600.00,689600,1.271620754,0.944726452
