source,ren10_id,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,action_yr,multaction,newschool,newschool_yr,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Grades at Capacity,ES,HS,schnam_first,address,city,state
ren10,17,,,,,,1,,,,,,,,1,1997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3-12,1,1,Chicago International Charter School - Longwood Campus,1309 WEST 95TH ST,CHICAGO,IL
NCES,,,1592,,170993006285,,1,0,,,,,,,1,2013,,,,,,,,,,,,,,,1,4-5,1,,CHICAGO COLLEGIATE CHARTER SCHOOL,11816 SOUTH INDIANA AV,CHICAGO,IL
ren10,70,,,,,,1,,,,,,,,1,1998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4-8,1,,UNO Charter School - Octavio Paz Campus (Intermediate),2401 WEST CONGRESS PKWY,CHICAGO,IL
NCES,,,1650,,170993006281,,1,0,,,,,,,1,2013,,,,,,,,,,,,,,,1,5,1,,KIPP BLOOM CHARTER ELEMENTARY SCHOOL,5515 SOUTH LOWE AV,CHICAGO,IL
ren10,3,,,,,,1,,,,,,,,1,2008,,,,,,,,,,1,1,1,1,1,1,5-12,,1,Amandla Charter School,6800 SOUTH STEWART AV,CHICAGO,IL
NCES,,,1568,,170993006235,,1,0,,,,,,,1,2012,,,,,,,,,,,,,,1,1,5-6,1,,ACT CHARTER MIDDLE SCHOOL,4826 WEST ERIE ST,CHICAGO,IL
ren10,32,,,,,,1,,,,,,,,1,2003,,,,,1,1,1,1,1,1,1,1,1,1,1,5-8,1,,KIPP Ascend Academy Charter School,715 SOUTH KILDARE AV,CHICAGO,IL
ren10,1,,,,170993003432,,1,1,0,,0,1,2010,,1,1997,1,1,1,1,1,1,1,1,1,1,1,,,,,6-12,,1,ACT Academy of Communications & Technology (ACT) Charter School,4319 WEST WASHINGTON BLVD,CHICAGO,IL
ren10,25,,1599,,170993005092,,1,,,,,,,,1,2004,,,,,,1,1,1,1,1,1,1,1,1,1,6-12,,1,Chicago Mathematics and Science Academy,1709 WEST LUNT AV,CHICAGO,IL
ren10,54,,,,,,1,,,,,,,,1,2008,,,,,,,,,,1,1,1,1,1,1,6-12,,1,Perspectives Charter School - IIT Math and Science Academy,3663 SOUTH WABASH AV,CHICAGO,IL
ren10,56,,1686,,170993003450,,1,,,,,,,,1,1997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6-12,,1,Perspectives Charter School - Rodney D. Joslin Campus,1930 SOUTH ARCHER AV,CHICAGO,IL
ren10,62,,,,,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,6-12,,1,University of Chicago Charter School - Woodlawn High School,6420 SOUTH UNIVERSITY AV,CHICAGO,IL
