dvm_edit,address_final,address_split?,subtotal,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18
Altgeld Gardens/Philip Murray Homes,976 E 132nd Pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0
Brooks Homes,1111 W Roosevelt St,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1208-1224 W Washburne Av,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1209 S Racine Av,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1215-1231 S Throop St,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1226-1242 W Washburne Av,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1244-1260 W Washburne Av,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1262-1278 W Washburne Av,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1280-1288 W Washburne Av,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1290A-1299B W Washburne,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,1015-1017 N Larrabee St,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,1121 N Larrabee St,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,1150-1160 N Sedgwick St,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,1158 N Cleveland Av,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,1159-1161 N Larrabee St,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,364 W Oak St,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
Frances Cabrini Homes,365 W Oak St,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
Frances Cabrini Homes,412 W Chicago Av,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,500-502 W Oak St,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,862 N Sedgwick St,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,911 N Hudson Av,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,911 N Sedgwick St,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,923 N Sedgwick St,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,929 N Hudson Av,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
Frances Cabrini Homes,939 N Hudson Av,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,111 N Wood St,1,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,120 N Hermitage Av,1,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,140 N Wood St,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,141 Wolcott Av,1,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,150 N Hermitage Av,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,1847 Lake St,1,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,1900 W Washington Blvd,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,1920 W Washington Blvd,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,1936 W Washington Blvd,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,1943 W Lake St,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,2215 & 2245 W Lake St,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1216-1222 W Laflin St,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1217-1223 W Laflin St,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1251 W 14th St,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1259 W 14th St,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1401 S Throop St,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1409 S Throop St,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1410 W 14th St,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1416 S Blue Island Av,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1425 S Throop St,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1428 S Blue Island Av,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1432-1438 W Washburne Av,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1433 W 13th St,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1436 S Blue Island Av,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1440 S Blue Island Av,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1440 W 13th St,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1440 W 14th St,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1440-1450 W Washburne Av,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1448 S Blue Island Av,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1452 S Blue Island Av,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1452-1462 W Washburne Av,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1508-1514 W 14th St,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1510 W 13th St,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1510 W 14th Pl,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
