dvm_edit,address_final,address_split?,subtotal,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18
Ida B. Wells Homes,660-670 E 39th,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,663-673 E 38th St,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,667 E 37th Pl,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,670-680 E 38th Pl,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,670-686 (674) E 38th St,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,671-677 E 38th Pl,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,672-678 E 39th St,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,679 E 37th Pl,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,679 E 38th Pl,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,679-693 E 37th St,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,680-686 (682) E 39th St,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,688 E 38th St,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,688-694 E 39th St,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,689-699 E 38th Pl,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,698 E 39th St,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,700-708 (704) E 38th St,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,701-709 E 37th Pl,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
