dvm_edit,address_final,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18
Brooks Homes,1111 W Roosevelt Rd,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1208 W Washburne Ave,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1215 S Throop St,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1226 W Washburne Ave,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1244 W Washburne Ave,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1280 W Washburne Ave,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Homes,1290 W Washburne Ave,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor Henry Horner Homes,2215 W Lake St,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1216 W Laflin St,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1217 W Laflin St,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1452 W Washburne Ave,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1527 W Washburne Ave,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1530 W 13th St,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1530 W Hastings St,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Harold Ickes Homes,2420 S State St,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,3707 S Dr Martin Luther King Dr,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,3709 S Rhodes Ave,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,3709 S Vincennes Ave,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
