source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all
NCES,,,646,170993001159,0,0,0,0,0,0,0,0,0,WHITTIER ELEMENTARY SCHOOL,WHITTIER ELEMENTARY SCHOOL,WHITTIER ELEMENTARY SCHOOL,1900 WEST 23RD ST,1900 WEST 23RD ST,1900 WEST 23RD ST,CHICAGO,IL,60608,"1900 WEST 23RD ST, CHICAGO, IL 60608",3114,8432,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,307,170993000869,0,0,0,0,0,0,0,0,0,JAHN ELEMENTARY SCHOOL,JAHN ELEMENTARY SCHOOL,JAHN ELEMENTARY SCHOOL,3149 NORTH WOLCOTT AV,3149 NORTH WOLCOTT AV,3149 NORTH WOLCOTT AV,CHICAGO,IL,60657,"3149 NORTH WOLCOTT AVE, CHICAGO, IL 60657",513,513,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,67,170993005486,0,0,0,0,0,0,0,0,0,BRIGHTON PARK ELEMENTARY SCHOOL,BRIGHTON PARK ELEMENTARY SCHOOL,BRIGHTON PARK ELEMENTARY SCHOOL,3825 SOUTH WASHTENAW AV,3825 SOUTH WASHTENAW AV,3825 SOUTH WASHTENAW AV,CHICAGO,IL,60632,"3825 SOUTH WASHTENAW AVE, CHICAGO, IL 60632",5801,5801,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,540,170993001070,0,0,0,0,0,0,0,0,0,SAYRE ELEMENTARY LANGUAGE ACADEMY,SAYRE ELEMENTARY LANGUAGE ACADEMY,SAYRE ELEMENTARY LANGUAGE ACADEMY,1850 NORTH NEWLAND AV,1850 NORTH NEWLAND AV,1850 NORTH NEWLAND AV,CHICAGO,IL,60707,"1850 NORTH NEWLAND AVE, CHICAGO, IL 60707",2505,2505,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,533,170993004916,1,0,0,0,0,0,0,0,0,SABIN ELEMENTARY MAGNET SCHOOL,SABIN ELEMENTARY MAGNET SCHOOL,SABIN ELEMENTARY MAGNET SCHOOL,2216 WEST HIRSCH ST,2216 WEST HIRSCH ST,2216 WEST HIRSCH ST,CHICAGO,IL,60622,"2216 WEST HIRSCH ST, CHICAGO, IL 60622",2412,2412,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,458,170993001003,0,0,0,0,0,0,0,0,0,OGDEN ELEMENTARY SCHOOL,OGDEN ELEMENTARY SCHOOL,OGDEN ELEMENTARY SCHOOL,24 WEST WALTON ST,24 WEST WALTON ST,24 WEST WALTON ST,CHICAGO,IL,60610,"24 WEST WALTON ST, CHICAGO, IL 60610",811,811,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,306,170993000868,1,0,0,0,0,0,0,0,0,ANDREW JACKSON ELEMENTARY LANGUAGE ACADEMY,JACKSON A ELEMENTARY LANGUAGE ACADEMY,JACKSON A ELEMENTARY LANGUAGE ACADEMY,1340 WEST HARRISON ST,1340 WEST HARRISON ST,1340 WEST HARRISON ST,CHICAGO,IL,60607,"1340 WEST HARRISON ST, CHICAGO, IL 60607",2823,8329,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,169,170993000734,0,0,0,0,0,0,0,0,0,DUNNE ELEMENTARY SCHOOL,DUNNE TECHNOLOGY ACADEMY ELEMENTARY SCHOOL,DUNNE TECHNOLOGY ACADEMY ELEMENTARY SCHOOL,10845 SOUTH UNION AV,10845 SOUTH UNION AV,10845 SOUTH UNION AV,CHICAGO,IL,60628,"10845 SOUTH UNION AVE, CHICAGO, IL 60628",4911,4911,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,316,170993000874,0,0,0,0,0,0,0,0,0,JENNER ELEMENTARY ACADEMY OF THE ARTS,JENNER ELEMENTARY ACADEMY OF THE ARTS,JENNER ELEMENTARY ACADEMY OF THE ARTS,1009 NORTH CLEVELAND AV,1119 NORTH CLEVELAND AV,1119 NORTH CLEVELAND AV,CHICAGO,IL,60610,"1119 NORTH CLEVELAND AVE, CHICAGO, IL 60610",808,8383,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,471,170993001021,0,0,0,0,0,0,0,0,0,PARK MANOR ELEMENTARY SCHOOL,PARK MANOR ELEMENTARY SCHOOL,PARK MANOR ELEMENTARY SCHOOL,7037 SOUTH RHODES AV,7037 SOUTH RHODES AV,7037 SOUTH RHODES AV,CHICAGO,IL,60637,"7037 SOUTH RHODES AVE, CHICAGO, IL 60637",6905,6905,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
