,source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all,location,point,latitude,longitude,geometry,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18,actualtotal,address_final,address_full,city,state,dvm_edit,location,point,latitude,longitude,dist
0,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITION CENTER H,DORSEY ACADEMY PREPARATION CENTER,DORSEY ACADEMY PREPARATION CENTER,9035 SOUTH LANGLEY AV,9035 SOUTH LANGLEY AV,9035 SOUTH LANGLEY AV,CHICAGO,IL,60619,"9035 SOUTH LANGLEY AVE, CHICAGO, IL 60619",4409,4409.0,,2001.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS,"9035, South Langley Avenue, Dauphin Park, Chatham, Chicago, Cook County, Illinois, 60619, United States of America","41.7299675, -87.60673753205626",41.7299675,-87.60673753205617,POINT (449539.4509377276 4619973.375595174),0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,3841 S Vincennes Av,"3841 S Vincennes Av, Chicago, IL",Chicago,IL,Ida B. Wells Homes,"South Vincennes Avenue, Park Manor, Greater Grand Crossing, Chicago, Cook County, Illinois, 60620, United States of America","41.7674384, -87.6270546",41.767438399999996,-87.6270546,4490.184259224427
1,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITION CENTER C,OLIVE ACADEMY PREPARATION CENTER,OLIVE ACADEMY PREPARATION CENTER,4747 SOUTH UNION AV,5125 SOUTH PRINCETON AV,5125 SOUTH PRINCETON AV,CHICAGO,IL,60609,"5125 SOUTH PRINCETON AVE, CHICAGO, IL 60609",3704,8356.0,,2001.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS,"South Princeton Avenue, Armour Square, Chicago, Cook County, Illinois, 60609, United States of America","41.8256944, -87.6338166",41.8256944,-87.6338166,POINT (447365.6888787053 4630617.714407237),0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,3757 S Princeton Ave,"3757 S Princeton Ave, Chicago, IL",Chicago,IL,Wentworth Gardens,"3757, South Princeton Avenue, Armour Square, Chicago, Cook County, Illinois, 60609, United States of America","41.8259264, -87.63370933333333",41.8259264,-87.63370933,27.255708497920118
2,NCES,,,519.0,1.71E+11,0,0,1,0,0,0,1,0,0,RIIS ELEMENTARY SCHOOL,RIIS ELEMENTARY FULL SERVICE ACADEMY,RIIS ELEMENTARY FULL SERVICE ACADEMY,1018 SOUTH LYTLE ST,1018 SOUTH LYTLE ST,1018 SOUTH LYTLE ST,CHICAGO,IL,60607,"1018 SOUTH LYTLE ST, CHICAGO, IL 60607",2832,2832.0,,2001.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,"1018, South Lytle Street, Near West Side, Chicago, Cook County, Illinois, 60607, United States of America","41.86916700146319, -87.6580799619605",41.869167001463104,-87.65807996196051,POINT (445387.7523745903 4635459.483702776),0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,,1248 W Taylor St,"1248 W Taylor St, Chicago, IL",Chicago,IL,Jane Addams Homes,"1248, West Taylor Street, Near West Side, Illinois Medical District, Cook County, Illinois, 60607, United States of America","41.86930325338683, -87.65870544706566",41.86930325,-87.65870545,54.068654275154046
3,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,DYETT MIDDLE SCHOOL,DYETT MIDDLE SCHOOL,DYETT MIDDLE SCHOOL,555 EAST 51ST ST,555 EAST 51ST ST,555 EAST 51ST ST,CHICAGO,IL,60615,"555 EAST 51ST ST, CHICAGO, IL 60615",4001,8361.0,,2001.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS,"555, East 51st Street, Washington Park, Chicago, Cook County, Illinois, 60615, United States of America","41.80116635, -87.61286073249703",41.80116635,-87.61286073249698,POINT (449086.5225086607 4627881.83815724),0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5201 S Federal St,"5201 S Federal St, Chicago, IL",Chicago,IL,Robert Taylor Homes,"5201, South Federal Street, Washington Park, Chicago, Cook County, Illinois, 60609, United States of America","41.799545884174705, -87.62780916885872",41.79954588,-87.62780917,1254.8618437864545
4,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,PICCOLO MIDDLE SCHOOL,PICCOLO MIDDLE SCHOOL,PICCOLO MIDDLE SCHOOL,1040 NORTH KEELER AV,1040 NORTH KEELER AV,1040 NORTH KEELER AV,CHICAGO,IL,60651,"1040 NORTH KEELER AVE, CHICAGO, IL 60651",2313,8421.0,,2001.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MS,"Brian Piccolo Specialty School, 1040, North Keeler Avenue, Beat 2534, Humboldt Park, Chicago, Cook County, Illinois, 60651, United States of America","41.9003099, -87.732001",41.9003099,-87.732001,POINT (439282.7078864523 4638966.876011294),0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,,714 W Division St,"714 W Division St, Chicago, IL",Chicago,IL,William Green Homes,"West Division Street, Moreland, Austin, Chicago, Cook County, Illinois, 60651, United States of America","41.9024164, -87.7424231",41.9024164,-87.7424231,895.5852631563345
5,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,NEAR NORTH CAREER METROPOLITAN HIGH SCHOOL,NEAR NORTH CAREER METROPOLITAN HIGH SCHOOL,NEAR NORTH CAREER METROPOLITAN HIGH SCHOOL,1450 NORTH LARRABEE ST,1450 NORTH LARRABEE ST,1450 NORTH LARRABEE ST,CHICAGO,IL,60610,"1450 NORTH LARRABEE ST, CHICAGO, IL 60610",805,8422.0,,2001.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS,"Near North Career High School, 1450, North Larrabee Street, Lincoln Park, Chicago, Cook County, Illinois, 60610, United States of America","41.9084395, -87.64381915496875",41.9084395,-87.6438191549687,POINT (446603.9385056735 4639810.835419286),0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,,1340 N Larrabee St,"1340 N Larrabee St, Chicago, IL",Chicago,IL,William Green Homes,"1340, North Larrabee Street, Chicago River North, Near North Side, Chicago, Cook County, Illinois, 60610, United States of America","41.90564317650747, -87.64338600864538",41.90564318,-87.64338601,312.5496097003318
6,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,GRAPHIC COMMUNICATION ARTS HIGH SCHOOL,FUTURE COMMONS TECHNICAL PREP HIGH SCHOOL,FUTURE COMMONS TECHNICAL PREP HIGH SCHOOL,4071 SOUTH LAKE PARK,4071 SOUTH LAKE PARK AV,4071 SOUTH LAKE PARK AV,CHICAGO,IL,60653,"4071 SOUTH LAKE PARK AVE, CHICAGO, IL 60653",3604,8364.0,,2002.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HS,"4071, South Lake Park Avenue, Oakland, Chicago, Cook County, Illinois, 60653, United States of America","41.8206919, -87.60090291689158",41.8206919,-87.6009029168915,POINT (450095.0815252453 4630042.665657275),0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,820 E Pershing Rd,"820 E Pershing Rd, Chicago, IL",Chicago,IL,Madden Park Homes,"820, East Pershing Road, Oakland, Chicago, Cook County, Illinois, 60653, United States of America","41.824724258272276, -87.60436836700478",41.82472426,-87.60436837,532.2351323254663
7,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,TEACHER PREPARATION HIGH SCHOOL,FUTURE COMMONS PROF PREPARATION H,FUTURE COMMONS PROF PREPARATION H,4071 SOUTH LAKE PARK,4071 SOUTH LAKE PARK AV,4071 SOUTH LAKE PARK AV,CHICAGO,IL,60653,"4071 SOUTH LAKE PARK AVE, CHICAGO, IL 60653",3604,8364.0,,2002.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HS,"4071, South Lake Park Avenue, Oakland, Chicago, Cook County, Illinois, 60653, United States of America","41.8206919, -87.60090291689158",41.8206919,-87.6009029168915,POINT (450095.0815252453 4630042.665657275),0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,820 E Pershing Rd,"820 E Pershing Rd, Chicago, IL",Chicago,IL,Madden Park Homes,"820, East Pershing Road, Oakland, Chicago, Cook County, Illinois, 60653, United States of America","41.824724258272276, -87.60436836700478",41.82472426,-87.60436837,532.2351323254663
8,NCES,3.0,,392.0,1.71E+11,0,0,1,0,0,0,1,1,0,TERRELL ELEMENTARY SCHOOL,TERRELL ELEMENTARY SCHOOL,TERRELL ELEMENTARY SCHOOL,5410 SOUTH STATE ST,5410 SOUTH STATE ST,5410 SOUTH STATE ST,CHICAGO,IL,60609,"5410 SOUTH STATE ST, CHICAGO, IL 60609",4002,8361.0,,2002.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ES,"ACE Technical Charter High School, 5410, South State Street, Washington Park, Chicago, Cook County, Illinois, 60609, United States of America","41.79601355, -87.62632862689821",41.79601355,-87.62632862689821,POINT (447963.5021564749 4627317.809959446),0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5247 S Federal St,"5247 S Federal St, Chicago, IL",Chicago,IL,Robert Taylor Homes,"5247, South Federal Street, Washington Park, Chicago, Cook County, Illinois, 60609, United States of America","41.79885778797182, -87.62779024990233",41.79885779,-87.62779025,338.3359005821275
9,NCES,2.0,,652.0,1.71E+11,0,0,1,0,0,0,1,1,0,WILLIAMS ELEMENTARY SCHOOL,WILLIAMS ELEMENTARY SCHOOL,WILLIAMS ELEMENTARY SCHOOL,2710 SOUTH DEARBORN ST,2710 SOUTH DEARBORN ST,2710 SOUTH DEARBORN ST,CHICAGO,IL,60616,"2710 SOUTH DEARBORN ST, CHICAGO, IL 60616",3504,3504.0,,2002.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,MS,"Williams Elementary School, 2710, South Dearborn Street, Dearborn Homes, Douglas, Chicago, Cook County, Illinois, 60616, United States of America","41.84342485, -87.6286966970514",41.84342485,-87.6286966970514,POINT (447805.2729153804 4632583.138363315),0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2822 S Calumet Av,"2822 S Calumet Av, Chicago, IL",Chicago,IL,Prairie Courts Extension,"2822, South Calumet Avenue, South Park Plaza, Douglas, Chicago, Cook County, Illinois, 60616, United States of America","41.842568, -87.618892",41.842568,-87.618892,819.5619753450363
