source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all
NCES,1,,393,170993000713.1,0,0,0,1,0,0,1,1,0,DODGE ELEMENTARY SCHOOL,DODGE ELEMENTARY SCHOOL,DODGE ELEMENTARY SCHOOL,2651 WEST WASHINGTON BL,431 NORTH TROY ST,2651 WEST WASHINGTON BL,CHICAGO,IL,60612,"2651 WEST WASHINGTON BLVD, CHICAGO, IL 60612",2709,8374,,2002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ES
NCES,,,350,170993000931,1,0,1,0,0,0,1,0,0,KING HIGH SCHOOL,KING COLLEGE PREP HIGH SCHOOL,KING HIGH SCHOOL,4445 SOUTH DREXEL BL,4445 SOUTH DREXEL BL,4445 SOUTH DREXEL BL,CHICAGO,IL,60653,"4445 SOUTH DREXEL BLVD, CHICAGO, IL 60653",3903,3903,,2002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,,,,170993002025,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITION CENTER G,PROCTOR ACADEMY PREPARATION CENTER,PROCTOR ACADEMY PREPARATION CENTER,838 WEST MARQUETTE RD,5125 SOUTH PRINCETON AV,5125 SOUTH PRINCETON,CHICAGO,IL,60609,"5125 SOUTH PRINCETON AVE, CHICAGO, IL 60609",3704,8356,,2003,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,,,,170993001996,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITION CENTER F,HERNANDEZ ACADEMY PREPARATION CT,HERNANDEZ ACADEMY PREPARATION CT,3800 WEST IOWA ST,3545 WEST FULTON BL,3545 WEST FULTON BL,CHICAGO,IL,60624,"3545 WEST FULTON BLVD, CHICAGO, IL 60624",2704,8368,,2003,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,6,,379,170993001167,0,0,1,0,0,0,1,0,0,FLOWER VOCATIONAL HIGH SCHOOL,FLOWER CAREER ACADEMY HIGH SCHOOL,FLOWER CAREER ACADEMY HIGH SCHOOL,3545 WEST FULTON BL,3545 WEST FULTON BL,3545 WEST FULTON BL,CHICAGO,IL,60624,"3545 WEST FULTON BLVD, CHICAGO, IL 60624",2704,8368,,2003,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,14,,,170993004009,0,0,1,0,0,0,1,1,0,SPALDING ELEMENTARY SCHOOL,SPALDING ELEMENTARY SCHOOL,SPALDING ELEMENTARY SCHOOL,1628 WEST WASHINGTON BL,1628 WEST WASHINGTON BL,1628 WEST WASHINGTON BL,CHICAGO,IL,60612,"1628 WEST WASHINGTON BLVD, CHICAGO, IL 60612",2804,2804,,2004,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,ES
NCES,15,,282,170993001113,0,0,1,0,0,0,1,0,0,SUDER ELEMENTARY SCHOOL,SUDER ELEMENTARY SCHOOL,SUDER ELEMENTARY SCHOOL,2022 WEST WASHINGTON BL,2022 WEST WASHINGTON BL,2022 WEST WASHINGTON BL,CHICAGO,IL,60612,"2022 WEST WASHINGTON BLVD, CHICAGO, IL 60612",2805,8378,,2004,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,ES
NCES,13,,,170993003993,0,0,1,0,0,0,1,0,0,SPALDING HIGH SCHOOL,SPALDING HIGH SCHOOL,SPALDING HIGH SCHOOL,1628 WEST WASHINGTON BL,1628 WEST WASHINGTON BL,1628 WEST WASHINGTON BL,CHICAGO,IL,60612,"1628 WEST WASHINGTON BLVD, CHICAGO, IL 60612",2804,2804,,2004,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,HS
NCES,43,,329,170993000908,1,0,1,0,0,0,1,0,0,LEMOYNE ELEMENTARY SCHOOL,LEMOYNE ELEMENTARY SCHOOL,LEMOYNE ELEMENTARY SCHOOL,851 WEST WAVELAND AV,851 WEST WAVELAND AV,851 WEST WAVELAND AV,CHICAGO,IL,60613,"851 WEST WAVELAND AVE, CHICAGO, IL 60613",610,610,,2007,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,ES
NCES,42,,324,170993000830,0,0,0,1,0,0,1,0,0,HARVARD ELEMENTARY SCHOOL,HARVARD ELEMENTARY SCHOOL,HARVARD ELEMENTARY SCHOOL,7525 SOUTH HARVARD AV,7525 SOUTH HARVARD AV,7525 SOUTH HARVARD,CHICAGO,IL,60620,"7525 SOUTH HARVARD AVE, CHICAGO, IL 60620",6912,6912,,2007,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,ES
